;id;unvan;gorevyeri;anahtarkelime;anahtarkelime2;ilgi
772;49197;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/TEMEL TIP BİLİMLERİ BÖLÜMÜ/BİYOFİZİK ANABİLİM DALI/;Sağlık Bilimleri Temel Alanı;Biyofizik;
773;264428;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SOSYAL BİLİMLER ENSTİTÜSÜ/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Yönetim ve Strateji;
774;205102;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/TEMEL TIP BİLİMLERİ BÖLÜMÜ/HİSTOLOJİ VE EMBRİYOLOJİ ANABİLİM DALI/;;;
775;135825;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/EĞİTİM FAKÜLTESİ/BİLGİSAYAR VE ÖĞRETİM TEKNOLOJİLERİ EĞİTİMİ BÖLÜMÜ/BİLGİSAYAR VE ÖĞRETİM TEKNOLOJİLERİ EĞİTİMİ ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Bilgisayar ve Öğretim Teknolojileri Eğitimi;
776;250266;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/DAHİLİ TIP BİLİMLERİ BÖLÜMÜ/RUH SAĞLIĞI VE HASTALIKLARI ANABİLİM DALI/;;;
777;246382;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/CERRAHİ TIP BİLİMLERİ BÖLÜMÜ/TIBBİ PATOLOJİ ANABİLİM DALI/;Sağlık Bilimleri Temel Alanı;Tıbbi Patoloji;
778;247257;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/ALMAN DİLİ VE EDEBİYATI BÖLÜMÜ/ALMAN DİLİ VE EDEBİYATI ANABİLİM DALI/;Filoloji Temel Alanı;Dünya Dilleri ve Edebiyatları; Alman Dili ve Edebiyatı
779;303384;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/EĞİTİM FAKÜLTESİ/EĞİTİM BİLİMLERİ BÖLÜMÜ/REHBERLİK VE PSİKOLOJİK DANIŞMANLIK ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Rehberlik ve Psikolojik Danışmanlık;
780;248011;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN BİLİMLERİ ENSTİTÜSÜ/;Mühendislik Temel Alanı;Gıda Bilimleri ve Mühendisliği;
781;144151;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/TARİH BÖLÜMÜ/ORTAÇAĞ TARİHİ ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Ortaçağ Tarihi;" Selçuklu Tarihi ; Türk ve İslam Düşünce Tarihi ; Müslüman Türk Devletleri ve Toplumları Tarihi"
782;265043;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/HUKUK FAKÜLTESİ/KAMU HUKUKU BÖLÜMÜ/İDARE HUKUKU ANABİLİM DALI/;Hukuk Temel Alanı;İdare Hukuku; İdare Hukuku
783;110109;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SİYASAL BİLGİLER FAKÜLTESİ/ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ BÖLÜMÜ/ÇALIŞMA EKONOMİSİ ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Sosyal Politika;" Çalışma Ekonomisi ve Endüstri İlişkileri ; İş ve Sosyal Güvenlik Hukuku"
784;30215;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/EĞİTİM FAKÜLTESİ/YABANCI DİLLER EĞİTİMİ BÖLÜMÜ/İNGİLİZ DİLİ EĞİTİMİ ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Yabancı Dil Eğitimi; İngilizce
785;28168;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/MAKİNE MÜHENDİSLİĞİ BÖLÜMÜ/MAKİNE MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Makine Mühendisliği;" Enerji  ; Termodinamik ; Yenilenebilir Enerji Sistemleri "
786;191503;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/GIDA MÜHENDİSLİĞİ BÖLÜMÜ/GIDA MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Gıda Bilimleri ve Mühendisliği; Süt Teknolojisi
787;272198;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN BİLİMLERİ ENSTİTÜSÜ/;Mühendislik Temel Alanı;Endüstri Mühendisliği;
788;110221;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/ENDÜSTRİ MÜHENDİSLİĞİ BÖLÜMÜ/ENDÜSTRİ MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Endüstri Mühendisliği;
789;246188;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/DAHİLİ TIP BİLİMLERİ BÖLÜMÜ/RUH SAĞLIĞI VE HASTALIKLARI ANABİLİM DALI/;;;
790;278328;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SİYASAL BİLGİLER FAKÜLTESİ/İKTİSAT BÖLÜMÜ/İKTİSADİ GELİŞME VE ULUSLARARASI İKTİSAT ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Makro İktisat; Büyüme
791;240869;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SAĞLIK BİLİMLERİ ENSTİTÜSÜ/;Sağlık Bilimleri Temel Alanı;Psikiyatri Hemşireliği;
792;118698;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/HUKUK FAKÜLTESİ/ÖZEL HUKUK BÖLÜMÜ/TİCARET HUKUK ANABİLİM DALI/;Hukuk Temel Alanı;Ticaret Hukuku;
793;262150;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/DAHİLİ TIP BİLİMLERİ BÖLÜMÜ/ÇOCUK SAĞLIĞI VE HASTALIKLARI ANABİLİM DALI/;;;
794;108238;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/TÜRK DİLİ VE EDEBİYATI BÖLÜMÜ/YENİ TÜRK DİLİ ANABİLİM DALI/;Filoloji Temel Alanı;Yeni Türk Edebiyatı; Türkiye Sahası Yeni Türk Edebiyatı
795;113235;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/EĞİTİM FAKÜLTESİ/MATEMATİK VE FEN BİLİMLERİ EĞİTİMİ BÖLÜMÜ/MATEMATİK EĞİTİMİ ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Matematik ve Fen Bilimleri Eğitimi; Matematik Eğitimi
796;204491;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/JEOFİZİK MÜHENDİSLİĞİ BÖLÜMÜ/JEOFİZİK MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Yer Bilimleri ve Mühendisliği; Deprem 
797;293790;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/DAHİLİ TIP BİLİMLERİ BÖLÜMÜ/İÇ HASTALIKLARI ANABİLİM DALI/;;;
798;204636;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SANAT, TASARIM VE MİMARLIK FAKÜLTESİ/MİMARLIK BÖLÜMÜ/MİMARLIK ANABİLİM DALI/;Mimarlık-Planlama-Tasarım;Mimarlık;" Mimari Tasarım ; Mimarlık- Planlama ve Tasarımda Kuram- Eleştiri- Yöntem"
799;199372;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/İŞLETME FAKÜLTESİ/İNSAN KAYNAKLARI YÖNETİMİ BÖLÜMÜ/İNSAN KAYNAKLARI PLANLAMASI VE GELİŞTİRMESİ ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Yönetim ve Strateji; İnsan Kaynakları Yönetimi
800;34899;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/KİMYA BÖLÜMÜ/ANORGANİK KİMYA ANABİLİM DALI/;Fen Bilimleri ve Matematik Temel Alanı;Kimya; Anorganik Kimya
801;139189;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/MATEMATİK BÖLÜMÜ/UYGULAMALI MATEMATİK ANABİLİM DALI/;Fen Bilimleri ve Matematik Temel Alanı;Matematik;" Uygulamalı Matematik ; Cebir ve Sayılar Teorisi"
802;304040;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SANAT, TASARIM VE MİMARLIK FAKÜLTESİ/MİMARLIK BÖLÜMÜ/MİMARLIK ANABİLİM DALI/;Mimarlık-Planlama-Tasarım;Mimarlık;" Mimari Tasarım ; Mimarlık ve Tasarımda Bilgi Teknolojileri"
